Component Name;Application;Category;Type;Database;LCI-ID;Lambda;R-Value;U-Value;Min Density;Max Density;Functional Unit;Type of Assembly;Material;Waste Category;Landfill;Incineration;Reuse;Recycling;Sorted on Building Site
Fedbeton | Cast in situ | Concrete;Flat roof;Cast in situ concrete;Specific component (EPD);Ecoinvent 3.6;EPD46-6;1.3;0.7692;;;;cbm;Cast in situ (chemically bonded);Concrete;Concrete;0.05;0.0;0.0;0.95;Not available
Fedbeton | Cast in situ | Concrete;Ground surface treatment;Cast in situ concrete;Specific component (EPD);Ecoinvent 3.6;EPD46-7;1.3;0.7692;;;;cbm;Cast in situ (chemically bonded);Concrete;Concrete;0.05;0.0;0.0;0.95;Not available
ISOPROC | Board | Bituminised wood fibre (22 mm) | Nailed;Roof finish | Sub-roof;Board;Specific component (EPD);Ecoinvent 3.6;EPD192-1;0.048;0.4583;;260;260;sqm;Nailed;Fiberboard;Mineral insulation materials;0.05;0.95;0.0;0.0;Not available
ISOPROC | Board | Bituminised wood fibre (22 mm) | Nailed;Wall - external finish | Support structure;Board;Specific component (EPD);Ecoinvent 3.6;EPD192-2;0.048;0.4583;;260;260;sqm;Nailed;Fiberboard;Mineral insulation materials;0.05;0.95;0.0;0.0;Not available
VestaEco | Board | Compressed straw fibers (30 mm) | Excluding fixations;Wall - internal finish | Support structure;Board;Specific component (EPD);Ecoinvent 3.6;EPD179-1;0.043;0.6977;;280;280;sqm;;Straw panel;Organic insulation materials;0.05;0.95;0.0;0.0;Not available
VestaEco | Board | Compressed straw fibers (30 mm) | Excluding fixations;Ceiling finish | Support structure;Board;Specific component (EPD);Ecoinvent 3.6;EPD179-2;0.043;0.6977;;280;280;sqm;;Straw panel;Organic insulation materials;0.05;0.95;0.0;0.0;Not available
VestaEco | Board | Compressed straw fibers (30 mm) | Excluding fixations;Ceiling finish | Support structure;Board;Specific component (EPD);Ecoinvent 3.6;EPD179-3;0.043;0.6977;;280;280;sqm;;Straw panel;Organic insulation materials;0.05;0.95;0.0;0.0;Not available
ISOPROC | Board | Bituminised wood fibre (18 mm) | Nailed;Wall - external finish | Support structure;Board;Specific component (EPD);Ecoinvent 3.6;EPD174-1;0.048;0.375;;260;260;sqm;Nailed;Fiberboard;Mineral insulation materials;0.05;0.95;0.0;0.0;Not available
ARGEX | Loose filling | Expanded clay (1 m³) | 370 kg/m³;Floor bed | Leveling layer;Mortar, aggregates, sand;Specific component (EPD);Ecoinvent 3.6;EPD271-1;0.114;8.7719;;370;370;cbm;Loose laid;Expanded clay;Bulk materials;0.05;0.0;0.95;0.0;Not available
ARGEX | Loose filling | Expanded clay (1 m³) | 500 kg/m³;Floor bed | Leveling layer;Mortar, aggregates, sand;Specific component (EPD);Ecoinvent 3.6;EPD276-1;0.114;8.7719;;500;500;cbm;Loose laid;Expanded clay;Bulk materials;0.05;0.0;0.95;0.0;Not available
ARGEX | Loose filling | Expanded clay (1 m³) | 430 kg/m³;Floor bed | Leveling layer;Mortar, aggregates, sand;Specific component (EPD);Ecoinvent 3.6;EPD277-1;0.114;8.7719;;430;430;cbm;Loose laid;Expanded clay;Bulk materials;0.05;0.0;0.95;0.0;Not available
ARGEX | Loose filling | Expanded clay (1 m³) | 340 kg/m³;Floor bed | Leveling layer;Mortar, aggregates, sand;Specific component (EPD);Ecoinvent 3.6;EPD278-1;0.114;8.7719;;340;340;cbm;Loose laid;Expanded clay;Bulk materials;0.05;0.0;0.95;0.0;Not available
P.M.W. | Cobblestones | Sandstone;Ground surface treatment | Surfacing;Ground surface treatment;Specific component (EPD);Ecoinvent 3.6;EPD328-1;2.3;0.037;;2621;2621;sqm;Loose laid with sand cement mortar (R = Rmat);Cobblestones;Other stony waste;0.008;0.0;0.85;0.142;Not available
