Element Name;Layer;Composition;Ratio;Component Name;Application;Lifetime;Thickness;Category;Type;Database;LCI-ID;Lambda;R-Value;U-Value;Functional Unit;Material;Waste Category;Landfill;Incineration;Reuse;Recycling;Sorted on Building Site
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C8;a;1.0;Board | Resol (80 mm) | Upon floor slab;Floor finish | Thermal insulation;60;0.08;Insulation;Generic component;Ecoinvent 3.6;WS50;0.021;3.81;;sqm;Resol;Synthetic insulation materials;0.05;0.95;0.0;0.0;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C7;a;1.0;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002;Membrane;Generic component;Ecoinvent 3.6;WS10;;;;sqm;High density polyethylene water barrier;Polyolefins (PP, PE);0.1;0.85;0.0;0.05;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C6;a;1.0;Cast in situ | Fibre reinforced concrete (250 mm);Floor bed | Slab;60;0.25;Cast in situ concrete;Generic component;Ecoinvent 3.6;WS57;1.7;0.15;;sqm;Concrete cast in situ;Concrete;0.05;0.0;0.0;0.95;0.75
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C6;a;1.0;Cast in situ | Fibre reinforced concrete (250 mm);Floor bed | Slab;60;0.25;Cast in situ concrete;Generic component;Ecoinvent 3.6;WS57;1.7;0.15;;sqm;Reinforcement fibres;Metals;0.05;0.0;0.0;0.95;0.85
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C5;a;1.0;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008;Membrane;Generic component;Ecoinvent 3.6;WS59;;;;sqm;Polypropylene geotextile;Polyolefins (PP, PE);0.1;0.85;0.0;0.05;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C4;a;1.0;Loose filling | Compacted sand (0.05 m³) | By machine;Floor bed | Leveling layer;60;0.05;;;;;;;;;;;;;;;
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C3;a;1.0;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008;Membrane;Generic component;Ecoinvent 3.6;WS59;;;;sqm;Polypropylene geotextile;Polyolefins (PP, PE);0.1;0.85;0.0;0.05;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C2;a;1.0;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1.0;Earthworks (Excavation, egalisation);Generic component;Ecoinvent 3.6;WS9;;;;sqm;Manual levelling;No impact end-of-life;0.0;0.0;0.0;0.0;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C1;a;1.0;Excavation process | Soil (0.44 m³) | By machine | Without transport;Floor bed | Excavation;60;0.44;;;;;;;;;;;;;;;
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C11;a;1.0;Flexible sheet | Linoleum (2.5 mm) | Glued;Floor finish | Cladding;15;0.0025;Soft flooring;Generic component;Ecoinvent 3.6;WS467;0.17;0.01;;sqm;Linoleum;Soft flooring;0.0;0.95;0.0;0.05;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C11;a;1.0;Flexible sheet | Linoleum (2.5 mm) | Glued;Floor finish | Cladding;15;0.0025;Soft flooring;Generic component;Ecoinvent 3.6;WS467;0.17;0.01;;sqm;Contact adhesive;Combustible remaining waste;0.0;1.0;0.0;0.0;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C10;a;1.0;Screed | Anhydrite binder (45 mm);Floor finish | Support structure;60;0.045;Continuous flooring  and screed;Generic component;Ecoinvent 3.6;WS24;1.3;0.03;;sqm;Anhydrite floor;Other stony waste;0.05;0.0;0.0;0.95;0.75
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C10;a;1.0;Screed | Anhydrite binder (45 mm);Floor finish | Support structure;60;0.045;Continuous flooring  and screed;Generic component;Ecoinvent 3.6;WS24;1.3;0.03;;sqm;Tap water;No impact end-of-life;0.0;0.0;0.0;0.0;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C9;a;1.0;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002;Membrane;Generic component;Ecoinvent 3.6;WS10;;;;sqm;High density polyethylene water barrier;Polyolefins (PP, PE);0.1;0.85;0.0;0.05;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C8;a;1.0;Cast in situ | Fibre reinforced concrete (250 mm);Floor bed | Slab;60;0.25;Cast in situ concrete;Generic component;Ecoinvent 3.6;WS57;1.7;0.15;;sqm;Concrete cast in situ;Concrete;0.05;0.0;0.0;0.95;0.75
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C8;a;1.0;Cast in situ | Fibre reinforced concrete (250 mm);Floor bed | Slab;60;0.25;Cast in situ concrete;Generic component;Ecoinvent 3.6;WS57;1.7;0.15;;sqm;Reinforcement fibres;Metals;0.05;0.0;0.0;0.95;0.85
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C7;a;1.0;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002;Membrane;Generic component;Ecoinvent 3.6;WS10;;;;sqm;High density polyethylene water barrier;Polyolefins (PP, PE);0.1;0.85;0.0;0.05;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C6;a;1.0;Board | Cellular glass (180 mm) | Under floor slab;Floor bed | Thermal insulation;60;0.18;Insulation;Generic component;Ecoinvent 3.6;WS52;0.045;4.0;;sqm;Cellular glass;Mineral insulation materials;0.5;0.5;0.0;0.0;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C5;a;1.0;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008;Membrane;Generic component;Ecoinvent 3.6;WS59;;;;sqm;Polypropylene geotextile;Polyolefins (PP, PE);0.1;0.85;0.0;0.05;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C4;a;1.0;Loose filling | Compacted sand (0.05 m³) | By machine;Floor bed | Leveling layer;60;0.05;;;;;;;;;;;;;;;
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C3;a;1.0;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008;Membrane;Generic component;Ecoinvent 3.6;WS59;;;;sqm;Polypropylene geotextile;Polyolefins (PP, PE);0.1;0.85;0.0;0.05;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C2;a;1.0;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1.0;Earthworks (Excavation, egalisation);Generic component;Ecoinvent 3.6;WS9;;;;sqm;Manual levelling;No impact end-of-life;0.0;0.0;0.0;0.0;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C1;a;1.0;Excavation process | Soil (0.53 m³) | By machine | Without transport;Floor bed | Excavation;60;0.53;;;;;;;;;;;;;;;
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C12;a;1.0;Parquet | Laminate (7 mm) | Loose laid;Floor finish | Cladding;15;0.007;Rigid flooring;Generic component;Ecoinvent 3.6;WS465;;;;sqm;Laminate flooring;Composite wood products;0.0;0.95;0.0;0.05;0.4
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C11;a;1.0;Board | XPS (5 mm) | Upon floor slab | Loose laid;Floor finish | Acoustic insulation;60;0.005;Insulation;Generic component;Ecoinvent 3.6;WS1837;0.034;0.15;;sqm;Extruded polystyrene;Synthetic insulation materials;0.05;0.95;0.0;0.0;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C10;a;1.0;Screed | Anhydrite binder (45 mm);Floor finish | Support structure;60;0.045;Continuous flooring  and screed;Generic component;Ecoinvent 3.6;WS24;1.3;0.03;;sqm;Anhydrite floor;Other stony waste;0.05;0.0;0.0;0.95;0.75
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C10;a;1.0;Screed | Anhydrite binder (45 mm);Floor finish | Support structure;60;0.045;Continuous flooring  and screed;Generic component;Ecoinvent 3.6;WS24;1.3;0.03;;sqm;Tap water;No impact end-of-life;0.0;0.0;0.0;0.0;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C9;a;1.0;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002;Membrane;Generic component;Ecoinvent 3.6;WS10;;;;sqm;High density polyethylene water barrier;Polyolefins (PP, PE);0.1;0.85;0.0;0.05;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C8;a;1.0;Board | Stone wool (140 mm) | Upon floor slab;Floor finish | Thermal insulation;60;0.14;Insulation;Generic component;Ecoinvent 3.6;WS1309;0.036;3.89;;sqm;Stone wool;Mineral insulation materials;0.5;0.5;0.0;0.0;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C7;a;1.0;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002;Membrane;Generic component;Ecoinvent 3.6;WS10;;;;sqm;High density polyethylene water barrier;Polyolefins (PP, PE);0.1;0.85;0.0;0.05;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C6;a;1.0;Cast in situ | Fibre reinforced concrete (250 mm);Floor bed | Slab;60;0.25;Cast in situ concrete;Generic component;Ecoinvent 3.6;WS57;1.7;0.15;;sqm;Concrete cast in situ;Concrete;0.05;0.0;0.0;0.95;0.75
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C6;a;1.0;Cast in situ | Fibre reinforced concrete (250 mm);Floor bed | Slab;60;0.25;Cast in situ concrete;Generic component;Ecoinvent 3.6;WS57;1.7;0.15;;sqm;Reinforcement fibres;Metals;0.05;0.0;0.0;0.95;0.85
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C5;a;1.0;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008;Membrane;Generic component;Ecoinvent 3.6;WS59;;;;sqm;Polypropylene geotextile;Polyolefins (PP, PE);0.1;0.85;0.0;0.05;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C4;a;1.0;Loose filling | Compacted sand (0.05 m³) | By machine;Floor bed | Leveling layer;60;0.05;;;;;;;;;;;;;;;
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C3;a;1.0;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008;Membrane;Generic component;Ecoinvent 3.6;WS59;;;;sqm;Polypropylene geotextile;Polyolefins (PP, PE);0.1;0.85;0.0;0.05;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C2;a;1.0;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1.0;Earthworks (Excavation, egalisation);Generic component;Ecoinvent 3.6;WS9;;;;sqm;Manual levelling;No impact end-of-life;0.0;0.0;0.0;0.0;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C1;a;1.0;Excavation process | Soil (0.5 m³) | By machine | Without transport;Floor bed | Excavation;60;0.5;;;;;;;;;;;;;;;
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C11;a;1.0;Carpet tiles | Polyamide (500x500x5.8 mm) | Loose laid;Floor finish | Cladding;15;0.0058;Soft flooring;Generic component;Ecoinvent 3.6;WS18;0.06;0.1;;sqm;Polyamide carpet with bitumen bottom;Combustible remaining waste;0.0;1.0;0.0;0.0;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C10;a;1.0;Board | Chipboard - steel backing (31 mm);Floor finish | Support structure for elevated floor;60;0.031;False ceiling and elevated floor;Generic component;Ecoinvent 3.6;WS63;;;;sqm;Chipboard;Composite wood products;0.0;0.95;0.0;0.05;0.4
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C10;a;1.0;Board | Chipboard - steel backing (31 mm);Floor finish | Support structure for elevated floor;60;0.031;False ceiling and elevated floor;Generic component;Ecoinvent 3.6;WS63;;;;sqm;Steel backing;Metals;0.05;0.0;0.0;0.95;0.85
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C9;a;1.0;Panel carrier | Steel (h = 250 mm) | Glued;Floor finish | Support structure for elevated floor;60;0.25;False ceiling and elevated floor;Generic component;Ecoinvent 3.6;WS62;;;;sqm;Steel panel carrier;Metals;0.05;0.0;0.0;0.95;0.85
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C9;a;1.0;Panel carrier | Steel (h = 250 mm) | Glued;Floor finish | Support structure for elevated floor;60;0.25;False ceiling and elevated floor;Generic component;Ecoinvent 3.6;WS62;;;;sqm;Polyurethane adhesive;Synthetic insulation materials;0.05;0.95;0.0;0.0;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C8;a;1.0;Cast in situ | Fibre reinforced concrete (350 mm);Floor bed | Slab;60;0.35;;;;;;;;;;;;;;;
